cancion,segmento,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,label,label_id
classical.00000,0,-260.67340087890625,133.82301330566406,-36.128211975097656,36.49444580078125,-11.123296737670898,29.24653434753418,-18.62273979187012,8.853854179382324,-11.809219360351562,25.13092041015625,classical,0
classical.00000,1,-283.2200927734375,139.42539978027344,-49.4188346862793,21.725046157836918,-20.708696365356445,21.721424102783203,-15.82167625427246,6.564035892486572,-16.794145584106445,12.470782279968262,classical,0
classical.00000,2,-263.8149719238281,139.13442993164062,-36.79767990112305,18.733539581298828,-19.78818893432617,20.89822769165039,-4.583742618560791,11.116680145263672,-15.452274322509766,-2.6662757396698,classical,0
classical.00000,3,-275.85565185546875,140.777099609375,-27.242151260375977,31.223812103271484,-13.710658073425291,22.411237716674805,-10.437463760375977,10.219852447509766,-15.408559799194336,10.455928802490234,classical,0
classical.00000,4,-240.18231201171875,141.89710998535156,-36.95008087158203,32.32521057128906,-13.674811363220217,16.686037063598633,-8.351095199584961,10.52559757232666,-17.006458282470703,4.205134391784668,classical,0
classical.00000,5,-285.84716796875,142.69732666015625,-35.8901481628418,32.968467712402344,-15.25373649597168,20.737394332885746,-12.56594944000244,8.274907112121582,-18.433074951171875,9.090886116027832,classical,0
classical.00000,6,-230.38690185546875,131.373046875,-41.512657165527344,37.8002815246582,-16.54736328125,12.51014518737793,-24.370155334472656,2.962618827819824,-15.51398754119873,19.192874908447266,classical,0
classical.00000,7,-250.2808532714844,140.2498779296875,-26.636377334594727,39.53710174560547,-16.031198501586914,13.072760581970217,-21.67690658569336,7.211629867553711,-15.110798835754396,12.370682716369627,classical,0
classical.00000,8,-286.03912353515625,136.8782501220703,-47.58755874633789,19.25249671936035,-17.42652130126953,25.29062843322754,-5.376104354858398,4.963769912719727,-23.343231201171875,3.510077476501465,classical,0
classical.00000,9,-324.3583068847656,142.768798828125,-33.16368865966797,14.033903121948242,-14.453642845153809,23.782028198242188,-4.361591815948486,10.788909912109377,-15.467292785644531,3.632286548614502,classical,0
classical.00001,0,-323.47772216796875,142.0325469970703,-26.361787796020508,42.52731323242188,-16.414987564086914,8.544001579284668,-21.557790756225582,13.146987915039062,-13.463807106018066,7.076666355133057,classical,0
classical.00001,1,-304.98828125,149.58328247070312,-24.561885833740234,40.35953521728516,-14.616206169128418,11.158069610595703,-15.57119846343994,6.9439473152160645,-13.351479530334473,3.55725622177124,classical,0
classical.00001,2,-352.393310546875,139.66787719726562,-24.24651527404785,31.432113647460938,-6.745145320892334,13.029950141906738,-15.086915969848633,10.21473503112793,-9.62022590637207,2.907883405685425,classical,0
